artist,artiste
manager,patron; gérant(e)
computer-programmer,programmeur(euse)
hair stylist,coiffeur(euse)
nurse,infirmier(ère)
scientist,scientifique
soldier,soldat
veterinarian,vétérinaire
writer,écrivain(e)
firefighter,pompier
police officer,policier(ère)
paramedic,auxiliaire médical(e)
plumber,plombier
electrician,électricien(ne)
carpenter,charpentier(ère)
doctor,médecin(e)
engineer,ingénieur(e)
lawyer,avocat(e)
judge,juge
teacher ,enseignant(e); éducateur(e)
professor,professeur(e)
actor,acteur
