house,maison
apartment,appartement
"at my house, my home",chez moi
elevator,ascenseur
balcony,balcon
hall,couloir
stairway,escalier
window,fenêtre
"yard, garden",jardin
furniture,meuble
carpet,moquette
wall,mur
floor,parquet
patio,patio; porche
ceiling,plafond
door,porte
curtain,rideau
floor,sol
rug,tapis
porch,véranda
room,pièce; salle
attic,grenier
basement,sous-sol
kitchen,cuisine
stove,cuisinière
kitchen sink,évier
oven,four
microwave,four à micro-ondes
refrigerator,réfrigérateur
dining room,salle à manger
chair,chaise
table,table
"den, living room",salle de séjour; salon
couch,canapé
stereo,chaîne stéréo
television,télévision
"office, study, desk",bureau
poster,affiche
(book)shelf,étagère
printer,imprimante
lamp,lampe
computer,ordinateur
telephone,téléphone
bedroom,chambre
closet,armoire
dresser,commode
bed,lit
pillow,oreiller
alarm clock,réveil
bathroom (room with a bathtub),salle de bain
water closet (room with a toilet),toilettes; le WC
bathtub,bain; baignoire
shower,douche
bathroom sink,lavabo
mirror,miroir; glace
