"to, at, in",à,
after,après,avant
before,avant,après; suivant
with,avec,sans; contre
"at the home/office of, among",chez,
"against, versus",contre,avec; pour
in,dans,hors; dehors
"from, of, about",de,
"since, for",depuis,jusque; à
"in back of, behind",derrière,devant
in front of,devant,derrière
"during, while",durant,
"in, to",en,hors
between,entre,hors
toward,envers,
"approximately, around",environ,exactement; précisément
"without, except, outside",hors,dans; dedans; en; entre; chez
"until, up to",jusque,depuis
despite,malgré,grâce à
"by, through",par,
among,parmi,
during,pendant,
for,pour,contre
without,sans,avec
except,sauf,
according to,selon,contre
under,sous; dessous,sur; dessus
according to,suivant,avant; après
on,sur,dessous; sous
"toward, near",vers,
